feature,avg_anova_pval,avg_kw_pval,anova_sig_all,kw_sig_all,sig_folds_anova,sig_folds_kw
eeg_232,7.020583131586575e-13,3.187427464734854e-27,True,True,5,5
eeg_199,2.2133296190238588e-12,3.1697487921825203e-15,True,True,5,5
eeg_256,3.2588261062889156e-12,1.1056627023039085e-29,True,True,5,5
eeg_64,3.386887058010534e-12,1.1113870952318357e-17,True,True,5,5
eeg_165,4.238073466424482e-12,1.4648611380235262e-31,True,True,5,5
eeg_59,5.206711769905024e-12,1.0938527371533668e-18,True,True,5,5
eeg_144,6.664045245123624e-12,3.05510963514202e-13,True,True,5,5
eeg_125,7.584018607479283e-12,2.8078646940985153e-18,True,True,5,5
eeg_307,8.383616425889557e-12,1.2898119539883505e-45,True,True,5,5
eeg_260,8.899390788493685e-12,7.339927237038826e-10,True,True,5,5
eeg_258,9.074834908377907e-12,1.749315467850558e-25,True,True,5,5
eeg_291,1.0241986176337063e-11,8.348838337815662e-16,True,True,5,5
eeg_26,1.0276871701614856e-11,9.712313968768373e-28,True,True,5,5
eeg_76,1.1589389788047785e-11,6.585243347473171e-33,True,True,5,5
eeg_147,2.399259789286179e-11,7.778245406344771e-30,True,True,5,5
eeg_3,3.3174014826982016e-11,9.081246132425647e-15,True,True,5,5
eeg_302,3.46068750126596e-11,1.3736021638721204e-39,True,True,5,5
eeg_218,4.623219353534757e-11,3.851718062962483e-18,True,True,5,5
eeg_255,5.1359948183259894e-11,2.5018670638575495e-26,True,True,5,5
eeg_66,5.863056556324341e-11,1.463362732950056e-21,True,True,5,5
eeg_161,7.010066808420769e-11,2.0014058783264261e-41,True,True,5,5
eeg_99,7.177503965345237e-11,4.61178792261004e-12,True,True,5,5
eeg_111,7.269674346499747e-11,9.766735378392346e-29,True,True,5,5
eeg_210,1.1390620921863529e-10,1.4074994981529033e-24,True,True,5,5
eeg_192,1.2175252560463746e-10,1.3949616832087034e-29,True,True,5,5
eeg_148,1.2745481426991972e-10,5.401351187049663e-15,True,True,5,5
